Instrumentals,writer,school,co-writer,date,assistant,Record Status,recording,publisher,ISWC,ISRC,Tuning,ASCAP,©,midi,s/I/k,year,assist,notes,t,u,v,w,x
Whisper of the Earth,Paul Reisler,Patrick Henry,,41748.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
Just Like the River,Paul Reisler,Patrick Henry,,41748.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
It Doesn't Really Feel Like Spring,Paul Reisler,Patrick Henry,,41748.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
Science of Love,Paul Reisler,Patrick Henry,,41748.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
Never Stop Dreaming,Paul Reisler,Patrick Henry,,41748.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
Butterflys Fluttering By,Paul Reisler,Hearst,,41769.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
Music Is All These Things,Paul Reisler,Hearst,,41769.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
Secrets,Paul Reisler,Hearst,,41769.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
I Dreamed,Paul Reisler,Hearst,,41769.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
My Own Known Univers,Paul Reisler,Hearst,,41769.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
Can't Have Cookies Without Milk,Paul Reisler,Hearst,,41769.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
Clueless,Paul Reisler,Potomac,,41779.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
Dreams,Paul Reisler,Potomac,,41779.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
That's Just Life,Paul Reisler,Potomac,,41779.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
Why Does It Have to Be Me,Paul Reisler,Potomac,,41779.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
,,,,,0.0,,,,,,,,,,,,,,,,,,
2018-19,,,,91.0,0.0,,,,,,,,,,,,,,,,,,
Spy on the Sitter,Paul Reisler,,,41943.0,0.0,,,Zoidsongs,,,,,,,,,,,,,,,
If I Were a Teacher,Paul Reisler,Whaley Elementary ,,42147.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
Mattie's Garden,Paul Reisler,Whaley Elementary ,,42147.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
Spring,Paul Reisler,Whaley Elementary ,,42147.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
If Homework Was Extinct,Paul Reisler,Whaley Elementary ,,42147.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
I Answer the Call,Paul Reisler,Fresta Valley,,42138.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
No Feet but Our Feet,Paul Reisler,Fresta Valley,,42138.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
Built On Prayer,Paul Reisler,Fresta Valley,,42138.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
Whenever I'm Afraid,Paul Reisler,Fresta Valley,,42138.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
It All Starts with a Seed,Paul Reisler,Potomac Elementary ,,42130.0,Sahffi Lynne,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
Last Day of School,Paul Reisler,Potomac Elementary ,,42130.0,Sahffi Lynne,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
You Already Called on Me,Paul Reisler,Potomac Elementary ,,42130.0,Sahffi Lynne,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
Dragon Boat,Paul Reisler,Potomac Elementary ,,42130.0,Sahffi Lynne,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
Mother Nature's Done It Again,Paul Reisler,Flat Rock Elementary ,,42087.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
Reflection,Paul Reisler,Potomac Elementary ,,42087.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
Castaway,Paul Reisler,Potomac Elementary ,,42087.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
Alone,Paul Reisler,Potomac Elementary ,,42087.0,Cheryl Toth,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
My First Rainbow,Paul Reisler,Patrick Henry,,42080.0,Lea Morris,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
