Instrumentals,writer,school,co-writer,date,assistant,Record Status,recording,publisher,ISWC,ISRC,Tuning,ASCAP,©,midi,s/I/k,year,assist,notes,t,u,v,w,x
"missing some Nashville songs, Williamson Co. and some others",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Out in the Field,Alex Call,Westwood Elementary,,37187.0,,,,,,,kids,,,,Frances McClanahan,,Bill Manchester,,,,,,
I Like to Do What I Like,Alex Call,Westwood Elementary,,37187.0,,,,,,,kids,,,,Frances McClanahan,,Jennifer Neal,,,,,,
Rap Hop,Angela Kaset,Nashville,K.P. Alley,,,,,,,,,,,,,,,,,,,,
Who I Am,Angela Kaset,Nashville,K.P. Alley,,,,,,,,,,,,,,,,,,,,
Little Drop of Water,Beth Nielsen Chapman,Nashville,K.P. Alley,,,,,,,,,,,,,,,,,,,,
Extra Hand,Bill Lloyd,Nashville,K.P. Alley,,,,,,,,,,,,,,,,,,,,
I Like Blues,Bill Lloyd,Nashville,K.P. Alley,,,,,,,,,,,,,,,,,,,,
my girlfriend,Celeste Krenz/Sally Barris,"Colonade, GA",,37792.0,,,,,,,,,,,,,,,,,,,
good people,Celeste Krenz/Sally Barris,"Colonade, GA",,37792.0,,,,,,,,,,,,,,,,,,,
biscuits for the dog,Celeste Krenz/Sally Barris,"Colonade, GA",,37792.0,,,,,,,,,,,,,,,,,,,
I found a rock,Celeste Krenz/Sally Barris,"Colonade, GA",,37792.0,,,,,,,,,,,,,,,,,,,
Cartoons,Chuck Jones,Nashville,K.P. Alley,,,,,,,,,,,,,,,,,,,,
Everything,Chuck Jones,Nashville,K.P. Alley,,,,,,,,,,,,,,,,,,,,
Stinky Socks,Chuck Jones,Nashville,K.P. Alley,,,,,,,,,,,,,,,,,,,,
I Miss My Country Home,Darrell Scott,Moore Elementary,,37196.0,,,,,,,kids,,,,Michael Alvey,,Jennifer Neal,,,,,,
I Hope He Comes Back Home,Darrell Scott,Moore Elementary,,37196.0,,,,,,,kids,,,,Michael Alvey,,Jennifer Neal,,,,,,
Chris E. Crust,Don Henry,Heritage Elementary,,37168.0,,,,,,,kids,,,,RaeAnna Goss,,Jennifer Neal,,,,,,
Evil Cowboy Cockroachers,Don Henry,Bethesda Elementary,,37168.0,,,,,,,NONE*,,,,Rachel Ratajewski,,Jennifer Neal,,,,,,
String Theory of the Universe,Fred Bogert,Pinewood Elementary,,37167.0,,,,Maxbox Music (BMI),,,Fred,,,,Heather Henkel,,Jennifer Neal,,,,,,
It' All Comes Out in the Wash,Fred Bogert,Hillsboro School,,37167.0,,,,Maxbox Music (BMI),,,Fred,,,,Brandon Grieves,,Jennifer Neal,,,,,,
Christmas IN Tennessee,Gary Nicholson,Nashville,K.P. Alley,,,,,,,,,,,,,,,,,,,,
Freaky Friday,Gary Nicholson,Nashville,K.P. Alley,,,,,,,,,,,,,,,,,,,,
The Turkeys & The Chickens,Georgia Middleman,Grassland Elementary,,37197.0,,,,,,,kids,,,,Linda Bonner,,Jennifer Neal,,,,,,
If You Step On A . . .,Georgia Middleman,Grassland Elementary,,37197.0,,,,,,,kids,,,,Linda Bonner,,Jennifer Neal,,,,,,
It's a Pretty Good Day,James Dean Hicks,Nashville,K.P. Alley,,,,,,,,,,,,,,,,,,,,
It's My turn,James Dean Hicks,Nashville,K.P. Alley,,,,,,,,,,,,,,,,,,,,
About the Children,Jason Blume,Nashville,K.P. Alley,,,,,,,,,,,,,,,,,,,,
True To Me,Jason Blume,Nashville,K.P. Alley,,,,,,,,,,,,,,,,,,,,
Goin' to the Park,Jim Photoglo,Nashville,K.P. Alley,,,,,,,,,,,,,,,,,,,,
Games We Play,John Knowles,Nashville,K.P. Alley,,,,,,,,,,,,,,,,,,,,
Outer Space,John Knowles,Nashville,K.P. Alley,,,,,,,,,,,,,,,,,,,,
Bouncing off the Bottom,Jon Vezner,Nashville,K.P. Alley,,,,,,,,,,,,,,,,,,,,
The Cheetah,Jon Vezner,Nashville,K.P. Alley,,,,,,,,,,,,,,,,,,,,
Pretty Polka-dot Wings,Kathy Hussey,Lipscomb Elementary,,37155.0,,,,Rakukat Music (BMI),,,kids,,,,Chris Lafferty,,Jennifer Neal,,,,,,
It's Crazy Day,Kathy Hussey,Chapman's Retreat Elementary,,37162.0,,,,Rakukat Music (BMI),,,NONE*,,,,Bret Bell,,Jennifer Neal,,,,,,
Cherry Blossom,Kathy Hussey,Chapman's Retreat Elementary,,37162.0,,,,Rakukat Music (BMI),,,kids,,,,Bret Bell,,Jennifer Neal,,,,,,
Everybody Likes Dogs,Kathy Hussey,Bass Elementary,K.P. Alley,38230.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
I’m Going Crazy,Kathy Hussey,Bass Elementary,K.P. Alley,38231.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
Last Year at Bass,Kathy Hussey,Bass Elementary,K.P. Alley,38232.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
I’m Sorry,Kathy Hussey,Bass Elementary,K.P. Alley,38233.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
It’s Raining Money,Kathy Hussey,Bass Elementary,K.P. Alley,38234.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
I Didn’t Do It,Kathy Hussey,Bass Elementary,K.P. Alley,38235.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
Nightmare on my Street,Kathy Hussey,Bass Elementary,K.P. Alley,38236.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
All Figured Out,Kathy Hussey,Bass Elementary,K.P. Alley,38237.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
Spooky Spot,Kathy Hussey,Bass Elementary,K.P. Alley,38238.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
It’s Only September (But Let It Snow),Kathy Hussey,R.S. Payne,K.P. Alley,38244.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
The Boogie Man is Everywhere,Kathy Hussey,R.S. Payne,K.P. Alley,38245.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
Crazy Things,Kathy Hussey,R.S. Payne,K.P. Alley,38246.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
Chappin’ on My Gum,Kathy Hussey,R.S. Payne,K.P. Alley,38247.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
I Have a Dream,Kathy Hussey,R.S. Payne,K.P. Alley,38248.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
This Is Not A Drill ,Kathy Hussey,R.S. Payne,K.P. Alley,38249.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
"Yeah, Okay",Kathy Hussey,R.S. Payne,K.P. Alley,38250.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
Time is Money,Kathy Hussey,R.S. Payne,K.P. Alley,38251.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
Funky Halloween,Kathy Hussey,R.S. Payne,K.P. Alley,38252.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
I_Don_t_Wanna_Get_Up_Today,Kathy Hussey,L.F. Keyser ES,K.P. Alley,38264.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
Once_in_Dirt_Bike_History,Kathy Hussey,L.F. Keyser ES,K.P. Alley,38265.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
Best_Teacher_Ever-1,Kathy Hussey,L.F. Keyser ES,K.P. Alley,38266.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
Oh_Teachers_Rock,Kathy Hussey,L.F. Keyser ES,K.P. Alley,38267.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
The_Dream_I_Had_Last_Night,Kathy Hussey,L.F. Keyser ES,K.P. Alley,38268.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
Is_Anybody_Gonna_Say_Christmas,Kathy Hussey,L.F. Keyser ES,K.P. Alley,38269.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
I_Get_Goosebumps,Kathy Hussey,L.F. Keyser ES,K.P. Alley,38270.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
Wild_Pony,Kathy Hussey,L.F. Keyser ES,K.P. Alley,38271.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
Making_New_Friends,Kathy Hussey,L.F. Keyser ES,K.P. Alley,38272.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
Good_at_making_Me_Forget,Kathy Hussey,L.F. Keyser ES,K.P. Alley,38273.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
Mummies Have Mommies too,Kathy Hussey,Ressie Jeffereis,K.P. Alley,38274.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
Come to the Haloween Dance,Kathy Hussey,Ressie Jeffereis,K.P. Alley,38275.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
I feel Goosbumps,Kathy Hussey,Ressie Jeffereis,K.P. Alley,38276.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
Is Anybody Going to Say Christmas,Kathy Hussey,Ressie Jeffereis,K.P. Alley,38277.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
I Like to Go OUt on a Windy Day,Kathy Hussey,Ressie Jeffereis,K.P. Alley,38278.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
You're Good at Making Me Forget,Kathy Hussey,Ressie Jeffereis,K.P. Alley,38279.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
I Wish I was a Wild Pony,Kathy Hussey,Ressie Jeffereis,K.P. Alley,38280.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
Making New Friends,Kathy Hussey,Ressie Jeffereis,K.P. Alley,38281.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
"Mrs. Claus, You’re My Hero",Kathy Hussey,T.C Miller,K.P. Alley,38321.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
Crazy Crazy Christmas,Kathy Hussey,James River Day School,K.P. Alley,38321.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
It’s Snowing Outside,Kathy Hussey,T.C Miller,K.P. Alley,38322.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
Angel on Top,Kathy Hussey,James River Day School,K.P. Alley,38322.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
Cash Flows,Kathy Hussey,T.C Miller,K.P. Alley,38323.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
Just Say No To Mistletoe,Kathy Hussey,James River Day School,K.P. Alley,38323.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
Nothing on my Mind,Kathy Hussey,T.C Miller,K.P. Alley,38324.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
I Just Forgot,Kathy Hussey,James River Day School,K.P. Alley,38324.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
Santa Plays a Red Guitar,Kathy Hussey,T.C Miller,K.P. Alley,38325.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
Fluent in Texting : ),Kathy Hussey,James River Day School,K.P. Alley,38325.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
It’s Too Silly in Here,Kathy Hussey,T.C Miller,K.P. Alley,38326.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
Frosty’s Cavern,Kathy Hussey,James River Day School,K.P. Alley,38326.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
If I Were Somebody,Kathy Hussey,T.C Miller,K.P. Alley,38327.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
What I Want For Christmas,Kathy Hussey,James River Day School,K.P. Alley,38327.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
Moving On So Fast,Kathy Hussey,T.C Miller,K.P. Alley,38328.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
Snow Covers the World With Joy,Kathy Hussey,James River Day School,K.P. Alley,38328.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
What’s Your Problem?,Kathy Hussey,T.C Miller,K.P. Alley,38329.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
Serious Bling,Kathy Hussey,James River Day School,K.P. Alley,38329.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
Breakfast With Santa,Kathy Hussey,T.C Miller,K.P. Alley,38330.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
Writing a Song,Kathy Hussey,James River Day School,K.P. Alley,38330.0,,,,Rakukat Music/Kid Pan Alley Music,,,,,,,,,Paddy Dougherty,,,,,,
I Don’t Like Valentine’s Day,Kathy Hussey,Stanleytown,K.P. Alley,39116.0,Paddy Dougherty,,,Hussey/Kid Pan Alley Music,,,,,,,,,,,,,,,
No Rules,Kathy Hussey,Stanleytown,K.P. Alley,39116.0,Paddy Dougherty,,,Hussey/Kid Pan Alley Music,,,,,,,,,,,,,,,
The City of Love,Kathy Hussey,Stanleytown,K.P. Alley,39116.0,Paddy Dougherty,,,Hussey/Kid Pan Alley Music,,,,,,,,,,,,,,,
Never Say Never,Kathy Hussey,Stanleytown,K.P. Alley,39116.0,Paddy Dougherty,,,Hussey/Kid Pan Alley Music,,,,,,,,,,,,,,,
Bacon Makes Everything Better,Kathy Hussey,Stanleytown,K.P. Alley,39116.0,Paddy Dougherty,,,Hussey/Kid Pan Alley Music,,,,,,,,,,,,,,,
Do You Believe in Peace?,Kathy Hussey,Stanleytown,K.P. Alley,39116.0,Paddy Dougherty,,,Hussey/Kid Pan Alley Music,,,,,,,,,,,,,,,
Everyone Needs a Friend,Kathy Hussey,Stanleytown,K.P. Alley,39116.0,Paddy Dougherty,,,Hussey/Kid Pan Alley Music,,,,,,,,,,,,,,,
Let's Make a Change,Kathy Hussey,Stanleytown,K.P. Alley,39116.0,Paddy Dougherty,,,Hussey/Kid Pan Alley Music,,,,,,,,,,,,,,,
Box of Hope,Kathy Hussey,Stanleytown,K.P. Alley,39116.0,Paddy Dougherty,,,Hussey/Kid Pan Alley Music,,,,,,,,,,,,,,,
"Get Well, Dr. L",Kathy Hussey,Burnley Moran,K.P Alley,39493.0,Paddy Dougherty,,,Kid Pan Alley Music/Rakukat Music,,,,,,,,,,,,,,,
I Don’t Think So,Kathy Hussey,Burnley Moran,K.P Alley,39493.0,Paddy Dougherty,,,Kid Pan Alley Music/Rakukat Music,,,,,,,,,,,,,,,
I Never Said That,Kathy Hussey,Burnley Moran,K.P Alley,39493.0,Paddy Dougherty,,,Kid Pan Alley Music/Rakukat Music,,,,,,,,,,,,,,,
I Want to Grow a Beard,Kathy Hussey,Burnley Moran,K.P Alley,39493.0,Paddy Dougherty,,,Kid Pan Alley Music/Rakukat Music,,,,,,,,,,,,,,,
I’m Going on a Treasure Hunt,Kathy Hussey,Burnley Moran,K.P Alley,39493.0,Paddy Dougherty,,,Kid Pan Alley Music/Rakukat Music,,,,,,,,,,,,,,,
"Life, Love and Something Else",Kathy Hussey,Burnley Moran,K.P Alley,39493.0,Paddy Dougherty,,,Kid Pan Alley Music/Rakukat Music,,,,,,,,,,,,,,,
Only Nine,Kathy Hussey,Burnley Moran,K.P Alley,39493.0,Paddy Dougherty,,,Kid Pan Alley Music/Rakukat Music,,,,,,,,,,,,,,,
Time Out,Kathy Hussey,Burnley Moran,K.P Alley,39493.0,Paddy Dougherty,,,Kid Pan Alley Music/Rakukat Music,,,,,,,,,,,,,,,
crazy amazing snow day	,Kathy Hussey,Campbell Court,K.P Alley,39497.0,Paddy Dougherty,,,Kid Pan Alley Music/Rakukat Music,,,,,,,,,,,,,,,
don't don't never	,Kathy Hussey,Campbell Court,K.P Alley,39497.0,Paddy Dougherty,,,Kid Pan Alley Music/Rakukat Music,,,,,,,,,,,,,,,
don't look at me	,Kathy Hussey,Campbell Court,K.P Alley,39497.0,Paddy Dougherty,,,Kid Pan Alley Music/Rakukat Music,,,,,,,,,,,,,,,
if I were the president	,Kathy Hussey,Campbell Court,K.P Alley,39497.0,Paddy Dougherty,,,Kid Pan Alley Music/Rakukat Music,,,,,,,,,,,,,,,
let's go	,Kathy Hussey,Campbell Court,K.P Alley,39497.0,Paddy Dougherty,,,Kid Pan Alley Music/Rakukat Music,,,,,,,,,,,,,,,
love goes both ways	,Kathy Hussey,Campbell Court,K.P Alley,39497.0,Paddy Dougherty,,,Kid Pan Alley Music/Rakukat Music,,,,,,,,,,,,,,,
rough C	,Kathy Hussey,Campbell Court,K.P Alley,39497.0,Paddy Dougherty,,,Kid Pan Alley Music/Rakukat Music,,,,,,,,,,,,,,,
Be the Best Bee,Kathy Hussey,Clark,K.P Alley,39564.0,Paddy Dougherty,,,Kid Pan Alley Music/Rakukat Music,,,,,,,,,,,,,,,
Carnival Nights,Kathy Hussey,Clark,K.P Alley,39564.0,Paddy Dougherty,,,Kid Pan Alley Music/Rakukat Music,,,,,,,,,,,,,,,
I’m Not Afraid,Kathy Hussey,Clark,K.P Alley,39564.0,Paddy Dougherty,,,Kid Pan Alley Music/Rakukat Music,,,,,,,,,,,,,,,
Learn to Listen,Kathy Hussey,Clark,K.P Alley,39564.0,Paddy Dougherty,,,Kid Pan Alley Music/Rakukat Music,,,,,,,,,,,,,,,
Love and Texting,Kathy Hussey,Clark,K.P Alley,39564.0,Paddy Dougherty,,,Kid Pan Alley Music/Rakukat Music,,,,,,,,,,,,,,,
You Shouldn’t Have,Kathy Hussey,Clark,K.P Alley,39564.0,Paddy Dougherty,,,Kid Pan Alley Music/Rakukat Music,,,,,,,,,,,,,,,
"Books, Books Everywhere",Melissa Javors,Nashville,K.P. Alley,,,,,,,,,,,,,,,,,,,,
No Fair,Melissa Javors,Nashville,K.P. Alley,,,,,,,,,,,,,,,,,,,,
Sports,Melissa Javors,Nashville,K.P. Alley,,,,,,,,,,,,,,,,,,,,
I Love You,Pam Rose,Nashville,K.P. Alley,,,,,,,,,,,,,,,,,,,,
My Best Friend Akee,Pam Rose,Nashville,K.P. Alley,,,,,,,,,,,,,,,,,,,,
Sleep All Day,Rick Beresford,Nashville,K.P. Alley,,,,,,,,,,,,,,,,,,,,
Trick Or Treat,Rick Beresford,Nashville,K.P. Alley,,,,,,,,,,,,,,,,,,,,
That Something That I Love,Sally Barris,Crockett Elementary,,37188.0,,,,,,,kids,,,,Deborah Davis,,Jennifer Neal,,,,,,
Never Give Up,Sally Barris,Crockett Elementary,,37188.0,,,,,,,kids,,,,Deborah Davis,,Jennifer Neal,,,,,,
Summer School Blues,Steve Azar,Fairview Elementary,,37201.0,,,,Riverzar Music (BMI),,,kids,,,,Sheila Dickerson,,Paul Reisler,,,,,,
The Game That Changed the World,Steve Azar,Fairview Elementary,,37201.0,,,,Riverzar Music (BMI),,,kids,,,,Sheila Dickerson,,Paul Reisler,,,,,,
Poor Pluto,Terri Allard,Venable E.S.,K.P. Alley,38360.0,,,,Reckless Abandon/Kid Pan Alley Music,,,,,,,,,Jeff Romano,,,,,,
Imagination Soup,Terri Allard,Venable E.S.,K.P. Alley,38361.0,,,,Reckless Abandon/Kid Pan Alley Music,,,,,,,,,Jeff Romano,,,,,,
We’ll Take a Bite Out of the World,Terri Allard,Venable E.S.,K.P. Alley,38362.0,,,,Reckless Abandon/Kid Pan Alley Music,,,,,,,,,Jeff Romano,,,,,,
Save It for Later,Terri Allard,Venable E.S.,K.P. Alley,38363.0,,,,Reckless Abandon/Kid Pan Alley Music,,,,,,,,,Jeff Romano,,,,,,
Mr. Schock,Terri Allard,Venable E.S.,K.P. Alley,38364.0,,,,Reckless Abandon/Kid Pan Alley Music,,,,,,,,,Jeff Romano,,,,,,
Stand Up for Me,Terri Allard,Venable E.S.,K.P. Alley,38365.0,,,,Reckless Abandon/Kid Pan Alley Music,,,,,,,,,Jeff Romano,,,,,,
Never Trust a Wallaby with your Homework,Terri Allard,Venable E.S.,K.P. Alley,38366.0,,,,Reckless Abandon/Kid Pan Alley Music,,,,,,,,,Jeff Romano,,,,,,
Change Can Change the World,Terri Allard,Venable E.S.,K.P. Alley,38367.0,,,,Reckless Abandon/Kid Pan Alley Music,,,,,,,,,Jeff Romano,,,,,,
Poor Pluto,Terri Allard,Venable E.S.,K.P. Alley,38368.0,,,,Reckless Abandon/Kid Pan Alley Music,,,,,,,,,Jeff Romano,,,,,,
They Say You Can Fix Everything with Duct Tape,Terri Allard,Red Hill E.S.,K.P. Alley,38383.0,,,,Reckless Abandon/Kid Pan Alley Music,,,,,,,,,Jeff Romano,,,,,,
On a Musical Earth,Terri Allard,Red Hill E.S.,K.P. Alley,38384.0,,,,Reckless Abandon/Kid Pan Alley Music,,,,,,,,,Jeff Romano,,,,,,
Fishing on the Moon for Stars,Terri Allard,Red Hill E.S.,K.P. Alley,38385.0,,,,Reckless Abandon/Kid Pan Alley Music,,,,,,,,,Jeff Romano,,,,,,
I Lost My Sister Accidentally on Purpose,Terri Allard,Red Hill E.S.,K.P. Alley,38386.0,,,,Reckless Abandon/Kid Pan Alley Music,,,,,,,,,Jeff Romano,,,,,,
"A Love Song, I Guess",Terri Allard,Red Hill E.S.,K.P. Alley,38387.0,,,,Reckless Abandon/Kid Pan Alley Music,,,,,,,,,Jeff Romano,,,,,,
The Class Went Wild,Terri Allard,Red Hill E.S.,K.P. Alley,38388.0,,,,Reckless Abandon/Kid Pan Alley Music,,,,,,,,,Jeff Romano,,,,,,
Let’s Pack It On Up,Terri Allard,Red Hill E.S.,K.P. Alley,38389.0,,,,Reckless Abandon/Kid Pan Alley Music,,,,,,,,,Jeff Romano,,,,,,
Kid Pan Alley Song,Terri Allard,Red Hill E.S.,K.P. Alley,38390.0,,,,Reckless Abandon/Kid Pan Alley Music,,,,,,,,,Jeff Romano,,,,,,
There’s a Cow on the Playground,Terri Allard,Red Hill E.S.,K.P. Alley,38391.0,,,,Reckless Abandon/Kid Pan Alley Music,,,,,,,,,Jeff Romano,,,,,,
Crazy idea,Will Hopkins,Rappahannock Elementary,,37547.0,,,,,,,,,,,,,Paul Reisler,12.0,,,,,
Find My Way Back Home,Will Hopkins,Rappahannock Elementary,,37547.0,,,,,,,,,,,,,Paul Reisler,12.0,,,,,
In a Perfect World,Will Hopkins,Rappahannock Elementary,,37547.0,,,,,,,,,,,,,Paul Reisler,15.0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
3rd Grade Anarchy,Paul Reisler,Johnson E.S.,K.P. Alley,38633.0,,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
3rd graders don't write love songs 13,Paul Reisler,Elkin Elementary,K.P. Alley,37375.0,,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
3rd Planet From the Sun,Paul Reisler,"Patrick Springs,VA",K.P. Alley,37204.0,,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
40 Guitars,Paul Reisler,"Grundy, Va",K.P. Alley,37191.0,,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
4th Grade Makes Me Lazy,Paul Reisler,Burley Moran E.S.,K.P. Alley,38603.0,,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
4th of July 5,Paul Reisler,Aiton Elementary,K.P. Alley,37399.0,,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
"5,000 Years",Paul Reisler ,Fannin E.S. ,K.P. Alley,38845.0,,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
A Ghost Can't Die,Paul Reisler,Nashville,K.P. Alley,36245.0,,,,,,,,,,,,,,,,,,,
"A Happy,Happy Birthday Song",Paul Reisler,Jackson-Via,K.P Alley,39357.0,Paddy Dougherty,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
A Home is Like a Friend,Paul Reisler,Burnley-Moran,K.P. Alley,39109.0,Terri Allard,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
A Man’s Best Friend May Be The Moon,Paul Reisler,Mary Williams Seniors,K.P Alley,39591.0,Lorraine Duisit,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
A Million Miles Away,Paul Reisler,Brownsville,K.P Alley,39394.0,Terri Allard,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
A Perfect Day in Paradise,Paul Reisler,Volcano,K.P Alley,39483.0,Melinda Caroll,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
A Song About Me,Paul Reisler ,"Whitsett, Nashville, TN",K.P. Alley,36865.0,,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
A Song About Me,Paul Reisler,"Whitsett, Nashville, TN",K.P. Alley,36865.0,Speace,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
A Star for Every State in the Union,Paul Reisler,"Patrick Springs,VA",K.P. Alley,37207.0,,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
Abby and Sammy,Paul Reisler ,Rappahannock  ,K.P. Alley,34981.0,,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
Abby and Sammy,Paul Reisler,Rappahannock  ,K.P. Alley,34981.0,,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
Abraham Lincoln,Paul Reisler,Boys and Girls Club,K.P Alley,39592.0,Lorraine Duisit,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
ADD Just Doesn’t Add Up,Paul Reisler,Rappahannock Elementary,K.P. Alley,37547.0,,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
Alice in Wonderland,Paul Reisler,Jackson-Via ES,K.P. Alley,38263.0,,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
All But a Dream (Candy Wrappers),Paul Reisler,Peabody School,K.P. Alley,38303.0,,,,Zoidsongs/Kid Pan Alley Music,,,,,,,,,,,,,,,
